spec_id,price,item_id,name,official_price,brand,level,engine
11000264,,372013,奔驰GLS450 2017款 3.0T汽油版,134.3万,奔驰,大型SUV,3.0T 汽油
11000316,,256992,2017款 2.3T美规自动挡标配,400000,福特(进口),跑车,2.3T 314马力 L4
11000336,,286370,2017款中东版兰德酷路泽4.0,898000,美国洛杉矶汽车改装有限公司,中大型SUV,1GR
11000095,,313419,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000095,,284302,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000095,,288156,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000320,,259507,2017款平行进口宝马X6M,1298000,宝马（进口）,中大型SUV,3.0T 306马力V6
11000326,,295279,2016款 汽油4.0L 丰田兰德酷路泽 中东版,85.8万,丰田,中大型车,4.0L
11000337,,373090,2017款 汽油2.7L 丰田普拉多 中东版,41.88万,丰田,中大型车,2.7L
11000093,,373148,2017款 4.0L SE中东版,695000,日产(进口),大型SUV,4.0L 269马力 V6
11000093,,287650,2017款 4.0L SE中东版,695000,日产(进口),大型SUV,4.0L 269马力 V6
11000337,,372458,2017款 汽油2.7L 丰田普拉多 中东版,41.88万,丰田,中大型车,2.7L
11000095,,289551,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000326,,289991,2016款 汽油4.0L 丰田兰德酷路泽 中东版,85.8万,丰田,中大型车,4.0L
11000264,,284026,奔驰GLS450 2017款 3.0T汽油版,134.3万,奔驰,大型SUV,3.0T 汽油
11000264,,156447,奔驰GLS450 2017款 3.0T汽油版,134.3万,奔驰,大型SUV,3.0T 汽油
11000316,,321865,2017款 2.3T美规自动挡标配,400000,福特(进口),跑车,2.3T 314马力 L4
11000095,,270144,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000305,,175591,奥迪Q7 2017款 汽油3.0T 加规科技版 7座 ,1098800,奥迪,全尺寸SUV,3.0T 汽油
11000345,,296002,宝马 X5 2016款 xDrive35i 中东版,838000,宝马,中大型SUV,L6 3.0T
11000260,,293230,2016款宝马X5 欧规 3.0T,890000,宝马,全尺寸SUV,3.0T 汽油
11000258,,271437,2016款 宝马 X6 xDrive35i,113.8万,宝马(进口),大型SUV,3.0T 306马力 L6
11000258,,256938,2016款 宝马 X6 xDrive35i,113.8万,宝马(进口),大型SUV,3.0T 306马力 L6
11000264,,288214,奔驰GLS450 2017款 3.0T汽油版,134.3万,奔驰,大型SUV,3.0T 汽油
11000095,,268811,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000316,,289986,2017款 2.3T美规自动挡标配,400000,福特(进口),跑车,2.3T 314马力 L4
11000095,,372327,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000337,,354734,2017款 汽油2.7L 丰田普拉多 中东版,41.88万,丰田,中大型车,2.7L
11000316,,345551,2017款 2.3T美规自动挡标配,400000,福特(进口),跑车,2.3T 314马力 L4
11000337,,301255,2017款 汽油2.7L 丰田普拉多 中东版,41.88万,丰田,中大型车,2.7L
11000222,,185245,2016款 汽油4.0L 丰田兰德酷路泽 中东版,85.8万,丰田,中大型车,4.0L
11000336,,373103,2017款中东版兰德酷路泽4.0,898000,美国洛杉矶汽车改装有限公司,中大型SUV,1GR
11000260,,271795,2016款宝马X5 欧规 3.0T,890000,宝马,全尺寸SUV,3.0T 汽油
11000222,,132068,2016款 汽油4.0L 丰田兰德酷路泽 中东版,85.8万,丰田,中大型车,4.0L
11000316,,295487,2017款 2.3T美规自动挡标配,400000,福特(进口),跑车,2.3T 314马力 L4
11000292,,294670,沃尔沃XC90 2.0T T6 7座 汽油版,918800,沃尔沃（进口）,中大型SUV,2.0T 320马力 L4
11000095,,294090,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000219,,255458,2016款 汽油2.7L 丰田普拉多 中东版,47.8万,丰田,中大型车,2.7L
11000095,,184189,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000336,,312197,2017款中东版兰德酷路泽4.0,898000,美国洛杉矶汽车改装有限公司,中大型SUV,1GR
11000313,,294677,2016款宝马X5 欧规 3.0T,890000,宝马,全尺寸SUV,3.0T 汽油
11000264,,274175,奔驰GLS450 2017款 3.0T汽油版,134.3万,奔驰,大型SUV,3.0T 汽油
11000345,,436946,宝马 X5 2016款 xDrive35i 中东版,838000,宝马,中大型SUV,L6 3.0T
11000098,,313950,宝马 X3 2016款 xDrive28i 中东版,559000,宝马,中型SUV,L4 2.0T
11000093,,284970,2017款 4.0L SE中东版,695000,日产(进口),大型SUV,4.0L 269马力 V6
11000326,,284717,2016款 汽油4.0L 丰田兰德酷路泽 中东版,85.8万,丰田,中大型车,4.0L
11000449,,337662,奥迪Q5 2018款 2.0T 汽油 北美版,575000,奥迪Q5,中型SUV,2.0T
11000264,,285175,奔驰GLS450 2017款 3.0T汽油版,134.3万,奔驰,大型SUV,3.0T 汽油
11000380,,317662,=基本信息!$B$2,83.80万,宝马(进口),中大型SUV,3.0T 306马力 L6
11000214,,139811,路虎 揽胜运动 2016款 3.0T 柴油版,-,路虎,中大型SUV,3.0T 柴油
11000214,,273833,路虎 揽胜运动 2016款 3.0T 柴油版,-,路虎,中大型SUV,3.0T 柴油
11000241,,353645,普拉多2016款 4.0L 中东版自动挡标配,570000,丰田,中大型SUV,4.0L 275马力 V6
11000284,,162173,2016款GLE450 4MATIC SUV 3.0T coupe,124.8万,进口奔驰,大型SUV,3.0T 333马力 V6
11000219,,269238,2016款 汽油2.7L 丰田普拉多 中东版,47.8万,丰田,中大型车,2.7L
11000286,,313953,2016款GLE4004MATIC SUV 3.0T ,119.8万,进口奔驰,大型SUV,3.0T 333马力 V6
11000214,,158670,路虎 揽胜运动 2016款 3.0T 柴油版,-,路虎,中大型SUV,3.0T 柴油
11000316,,296347,2017款 2.3T美规自动挡标配,400000,福特(进口),跑车,2.3T 314马力 L4
11000305,,313955,奥迪Q7 2017款 汽油3.0T 加规科技版 7座 ,1098800,奥迪,全尺寸SUV,3.0T 汽油
11000337,,289569,2017款 汽油2.7L 丰田普拉多 中东版,41.88万,丰田,中大型车,2.7L
11000093,,205569,2017款 4.0L SE中东版,695000,日产(进口),大型SUV,4.0L 269马力 V6
11000337,,327535,2017款 汽油2.7L 丰田普拉多 中东版,41.88万,丰田,中大型车,2.7L
11000305,,165251,奥迪Q7 2017款 汽油3.0T 加规科技版 7座 ,1098800,奥迪,全尺寸SUV,3.0T 汽油
11000336,,288218,2017款中东版兰德酷路泽4.0,898000,美国洛杉矶汽车改装有限公司,中大型SUV,1GR
11000224,,160037,总裁 2016款 3.0T S Q4 四驱型,1898000,玛莎拉蒂,大型车,3.0T 409马力 V6
11000200,,158654,2016款 欧规 路虎揽胜3.0T 柴油版,1498000,路虎,中大型suv,3.0T 柴油
11000316,,274045,2017款 2.3T美规自动挡标配,400000,福特(进口),跑车,2.3T 314马力 L4
11000298,,436543,路虎揽胜运动S 2016款 3.0SC汽油版 欧规,1098000,路虎,中大型SUV,3.0T 340马力 V6
11000343,,292169,宝马 7系 2016款730Li 中东版,898000,宝马,三厢车,L4 2.0T
11000308,,324536,2015款 柴油3.0T 丰田普拉多 中东版,52.8万,丰田,中大型车,3.0T
11000316,,298851,2017款 2.3T美规自动挡标配,400000,福特(进口),跑车,2.3T 314马力 L4
11000219,,149431,2016款 汽油2.7L 丰田普拉多 中东版,47.8万,丰田,中大型车,2.7L
11000418,,382740,丰田兰德酷路泽 2017款 4.0L GX.R 大灯清洗版,680000,丰田,中大型SUV,4.0L V6
11000264,,312946,奔驰GLS450 2017款 3.0T汽油版,134.3万,奔驰,大型SUV,3.0T 汽油
11000264,,295798,奔驰GLS450 2017款 3.0T汽油版,134.3万,奔驰,大型SUV,3.0T 汽油
11000316,,328295,2017款 2.3T美规自动挡标配,400000,福特(进口),跑车,2.3T 314马力 L4
11000220,,296050,奔驰GLS450 2016款 3.0T汽油版_,134.3万,奔驰,大型SUV,3.0T 汽油
11000326,,298207,2016款 汽油4.0L 丰田兰德酷路泽 中东版,85.8万,丰田,中大型车,4.0L
11000444,,452629,路虎揽胜行政版 2017款 汽油 3.0T 欧规,1145000,路虎（进口）,中大型SUV,3.0T 258马力V6
11000344,,292161,宝马 X6 2016款 xDrive35i 中东版,918000,宝马,中大型SUV,L6 3.0T
11000336,,319354,2017款中东版兰德酷路泽4.0,898000,美国洛杉矶汽车改装有限公司,中大型SUV,1GR
