name,displacement,price,sale_type,version,fuel_type,model,chejinbao_id
奥迪,3.0L,67.5,现车,美规,汽油,SUV,154
宾利飞驰,4.0L,260.0,现车,美规,汽油,轿车,143
F-PACE 2.0T都市尊享版,2.0L,54.8,期车,,汽油,SUV,158
大切诺基,3.0L,57.99,现车,美规,汽油,SUV,139
加版XC90,2.0L,63.5,现车,加版,汽油,SUV,202
16路虎行政版,3.0L,128.5,现车,欧规,,SUV,134
17款福特F-150 猛禽,3.5L,66.8,现车,,汽油,皮卡,164
奔驰GLS450,3.0L,128.5,现车,加版,汽油,SUV,137
宝马X3  2.0L,2.0L,41.0-43.8,期车,中东,汽油,SUV,262
丰田普拉多4000,4.0L,52.0,现车,中东,汽油,SUV,35
牧马人,2.8L,42.95,现车,,柴油,SUV,150
道奇挑战者,3.6L,47.0,现车,加版,汽油,跑车,101
丰田 兰德酷路泽5700,5.7L,102.0-145.0,现车,中东,汽油,SUV,215
路虎发现4,3.0L,79.0,现车,,,SUV,130
特斯拉 model 电动汽车,0.0L,55.0-145.0,期车,,电力,,247
奔驰 GLE350  3.0L,3.0L,76.5-132.9,期车,加版,,SUV,270
奔驰 G500  4.0L,4.0L,162.0-388.0,期车,欧规,汽油,SUV,269
捷豹 F-TYPE  3.0L,3.0L,62.0-110.8,期车,,汽油,跑车,249
路虎 第四代发现 3.0L,3.0L,71.8-97.0,现车,美规,,SUV,219
丰田 兰德酷路泽4600,4.6L,77.8-104.0,现车,中东,汽油,SUV,214
奔驰 GLS450 3.0L,3.0L,96.0-176.0,期车,美规,汽油,SUV,261
日产  途乐  5.6L,5.6L,69.0-88.0,现车,中东,汽油,SUV,237
丰田 兰德酷路泽 4000,4.0L,59.5-89.0,现车,中东,汽油,SUV,213
捷豹 F-PACE 2.0L,2.0L,43.2-71.8,期车,欧规,汽油,SUV,248
GMC sierra 5.3L,5.3L,53.0-62.0,期车,美规,汽油,皮卡,242
丰田 普拉多 2700,2.7L,37.6-56.0,现车,中东,汽油,SUV,211
奔驰 S400  3.0L,3.0L,105.0-130.0,期车,中东,汽油,轿车,264
丰田 穿越者 2700,2.7L,28.5-49.8,现车,中东,汽油,SUV,244
宝马  X5  3.0L,3.0L,64.0-92.0,期车,欧规,汽油,SUV,227
奥迪 Q7  3.0L,3.0L,65.8-105.8,期车,欧规,汽油,SUV,243
宝马 X6 3.0L,3.0L,61.0-90.0,期车,墨版,汽油,SUV,253
路虎 揽胜运动 3.0L,3.0L,70.0-118.0,现车,美规,,SUV,220
日产 途乐 4.0L,4.0L,50.8-67.5,现车,中东,汽油,SUV,245
福特 野马 2.3L,2.3L,30.4-49.0,现车,欧规,汽油,跑车,222
福特 探险者 2.3L,2.3L,35.0-60.0,现车,欧规,汽油,SUV,225
福特 猛禽F-150 3.5L,3.5L,36.5-76.0,现车,加版,汽油,皮卡,226
